@relation ForWekaTrain180-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute caseid string
@attribute avgspeedmph numeric
@attribute maxspeedmph numeric
@attribute sddistancelocationsfeet numeric
@attribute dwelltimeseconds numeric
@attribute travmode {1,2,3,5,7}

@data
12524,9.572767,17.6,6979.513712,7.882353,2
390,7.209538,21.700001,3584.407987,25.368421,2
391,7.849403,23.5,4039.269381,20.571429,2
392,8.732322,21.9,1994.642055,18.457143,2
397,9.756311,17.6,?,5,2
399,7.234694,16.299999,943.722338,43.5,2
402,6.155556,14.9,?,19,2
404,8.4375,18.4,1519.368585,22.8,2
405,6.549351,15.8,1732.965871,20,2
499,30.384462,69.699997,7090.727633,31.666667,7
507,33.592513,68.599998,2473.349563,18,7
541,11.8,36.099998,864.412469,18.533333,3
569,53.569499,75.699997,52301.949522,7,3
751,2.083721,5.1,?,75,1
781,44.686131,60,5958.530465,10.5,7
841,44.9752,68.800003,6785.949531,20.6,7
848,8.893243,24.200001,1268.786413,17.428571,5
856,8.655862,21.4,1000.457922,18.8,5
859,46.047881,68.5,7291.731048,8.2,7
903,3.009091,6.6,?,33.5,1
1070,1.523529,2.2,67.258702,74,1
1107,17.584892,37,3364.553866,17.428571,5
1223,6.917682,15,?,8.689655,2
12525,10.90617,19.299999,?,1.2,2
12527,10.287913,20.700001,?,3.2,2
12590,38.96699,64.599998,5502.168555,7.333333,3
12792,24.89403,42.599998,?,2.333333,3
12797,1.633333,2.9,6.286826,52,1
12806,1.951724,3.5,60.91408,144,1
12847,33.322414,67.900002,2102.759091,13.25,3
13005,1.956522,4.2,18.738562,122,1
13061,19.396742,49.700001,4496.207363,11.178571,5
13066,28.063435,46.5,6692.848596,10.538462,5
13068,35.050974,68.199997,4522.403119,16.8,7
13070,30.770432,64.199997,6156.574096,13.809524,5
13077,41.108156,70.199997,3516.655339,12.25,7
13087,30.398204,64.599998,6164.485169,14.227273,5
13095,41.515385,73.099998,2365.828475,9,7
13104,35.693562,69.699997,3590.052872,9.25,7
13185,24.722936,50.599998,935.213025,27.2,3
13317,57.386,71.199997,?,1,3
13551,5.648333,16.5,598.72726,23.25,2
13557,5.092647,12,?,21.333333,2
13604,42.253952,67.699997,10014.357783,51.4,7
13814,2.051282,2.9,202.606962,149,1
13981,27.597849,43.599998,3014.611059,20.4,3
14082,2.152941,3.7,?,64,1
14193,1.84,3.5,114.685922,136,1
14319,17.245679,34.700001,1838.76988,10.4,3
