A,33.77237,N,084.40585,W,195505,290609,002.1,000,265416.1,01.5,99
A,33.77256,N,084.40600,W,195507,290609,002.6,353,00000.0,01.5,99
A,33.77238,N,084.40586,W,195508,290609,001.9,000,00000.0,01.5,99
A,33.77251,N,084.40595,W,195759,290609,001.1,348,00000.0,01.5,99
A,33.77252,N,084.40595,W,195800,290609,001.6,348,00000.0,01.5,99
A,33.77252,N,084.40595,W,195801,290609,001.9,348,00000.0,01.5,99
A,33.77253,N,084.40595,W,195802,290609,001.4,348,00000.0,01.5,99
A,33.77253,N,084.40594,W,195803,290609,001.1,348,00000.0,01.5,99
A,33.77254,N,084.40595,W,195806,290609,001.5,348,00000.0,01.5,99
A,33.77254,N,084.40595,W,195807,290609,001.4,348,00000.0,01.5,99
A,33.77255,N,084.40595,W,195810,290609,001.3,348,00000.0,01.5,99
A,33.77254,N,084.40594,W,195811,290609,003.3,348,00000.0,01.5,99
A,33.77253,N,084.40593,W,195812,290609,005.3,348,00000.0,01.5,99
A,33.77251,N,084.40590,W,195813,290609,007.8,348,00000.0,01.5,99
A,33.77250,N,084.40587,W,195814,290609,009.7,348,00000.0,01.5,99
A,33.77248,N,084.40582,W,195815,290609,011.0,014,00000.0,01.5,99
A,33.77246,N,084.40577,W,195816,290609,012.5,014,00000.0,01.5,99
A,33.77244,N,084.40571,W,195817,290609,013.5,079,00000.0,01.5,99
A,33.77243,N,084.40564,W,195818,290609,013.6,079,00000.0,01.5,99
A,33.77241,N,084.40558,W,195819,290609,013.7,105,00000.0,01.5,99
A,33.77239,N,084.40552,W,195820,290609,014.1,105,00000.0,01.5,99
A,33.77236,N,084.40545,W,195821,290609,014.9,096,00000.0,01.5,99
A,33.77234,N,084.40539,W,195822,290609,015.3,096,00000.0,01.5,99
A,33.77231,N,084.40532,W,195823,290609,015.5,108,00000.0,01.5,99
A,33.77228,N,084.40526,W,195824,290609,015.9,108,00000.0,01.5,99
A,33.77225,N,084.40519,W,195825,290609,016.2,110,00000.0,01.5,99
A,33.77222,N,084.40511,W,195826,290609,016.5,110,00000.0,01.5,99
A,33.77220,N,084.40504,W,195827,290609,016.9,110,00000.0,01.5,99
A,33.77217,N,084.40496,W,195828,290609,017.1,110,00000.0,01.5,99
A,33.77215,N,084.40488,W,195829,290609,016.8,111,00000.0,01.5,99
A,33.77212,N,084.40481,W,195830,290609,015.6,111,00000.0,01.5,99
A,33.77210,N,084.40475,W,195831,290609,013.6,111,00000.0,01.5,99
A,33.77208,N,084.40469,W,195832,290609,011.7,111,00000.0,01.5,99
A,33.77208,N,084.40464,W,195833,290609,010.1,108,00000.0,01.5,99
A,33.77208,N,084.40460,W,195834,290609,008.9,108,00000.0,01.5,99
A,33.77211,N,084.40456,W,195835,290609,010.2,108,00000.0,01.5,99
A,33.77214,N,084.40453,W,195836,290609,012.1,098,00000.0,01.5,99
A,33.77219,N,084.40451,W,195837,290609,013.4,098,00000.0,01.5,99
A,33.77224,N,084.40449,W,195838,290609,013.7,082,00000.0,01.5,99
A,33.77230,N,084.40447,W,195839,290609,012.9,082,00000.0,01.5,99
A,33.77234,N,084.40445,W,195840,290609,011.6,063,00000.0,01.5,99
A,33.77237,N,084.40442,W,195841,290609,008.4,063,00000.0,01.5,99
A,33.77239,N,084.40441,W,195842,290609,004.6,063,00000.0,01.5,99
A,33.77240,N,084.40440,W,195843,290609,002.9,063,00000.0,01.5,99
A,33.77241,N,084.40438,W,195844,290609,003.8,048,00000.0,01.5,99
A,33.77243,N,084.40437,W,195845,290609,004.5,048,00000.0,01.5,99
A,33.77244,N,084.40435,W,195846,290609,003.4,048,00000.0,01.5,99
A,33.77245,N,084.40434,W,195847,290609,004.8,048,00000.0,01.5,99
A,33.77246,N,084.40431,W,195848,290609,007.0,048,00000.0,01.5,99
A,33.77247,N,084.40427,W,195849,290609,009.3,042,00000.0,01.5,99
A,33.77246,N,084.40422,W,195850,290609,012.7,042,00000.0,01.5,99
A,33.77245,N,084.40415,W,195851,290609,015.5,049,00000.0,01.5,99
A,33.77244,N,084.40407,W,195852,290609,017.1,049,00000.0,01.5,99
A,33.77241,N,084.40399,W,195853,290609,018.3,066,00000.0,01.5,99
A,33.77239,N,084.40390,W,195854,290609,018.5,066,00000.0,01.5,99
A,33.77237,N,084.40381,W,195855,290609,017.9,082,00000.0,01.5,99
A,33.77236,N,084.40373,W,195856,290609,016.5,082,00000.0,01.5,99
A,33.77237,N,084.40365,W,195857,290609,016.0,092,00000.0,01.5,99
A,33.77238,N,084.40358,W,195858,290609,015.2,092,00000.0,01.5,99
A,33.77242,N,084.40352,W,195859,290609,015.2,093,00000.0,01.5,99
A,33.77246,N,084.40347,W,195900,290609,015.3,093,00000.0,01.5,99
A,33.77252,N,084.40343,W,195901,290609,016.2,082,00000.0,01.5,99
A,33.77258,N,084.40340,W,195902,290609,017.1,082,00000.0,01.5,99
A,33.77265,N,084.40337,W,195903,290609,017.6,066,00000.0,01.5,99
A,33.77272,N,084.40334,W,195904,290609,018.3,066,00000.0,01.5,99
A,33.77278,N,084.40330,W,195905,290609,018.2,050,00000.0,01.5,99
A,33.77285,N,084.40327,W,195906,290609,016.8,050,00000.0,01.5,99
A,33.77291,N,084.40324,W,195907,290609,014.7,037,00000.0,01.5,99
A,33.77296,N,084.40322,W,195908,290609,011.2,037,00000.0,01.5,99
A,33.77299,N,084.40321,W,195909,290609,006.4,037,00000.0,01.5,99
A,33.77300,N,084.40320,W,195910,290609,001.5,028,00000.0,01.5,99
